Ano,Campeão
2018,Palmeiras
2017,Corinthians
2016,Palmeiras
2015,Corinthians
2014,Cruzeiro
2013,Cruzeiro
2012,Fluminense
2011,Corinthians
2010,Fluminense
2009,Flamengo
2008,São Paulo
2007,São Paulo
2006,São Paulo
2005,Corinthians
2004,Santos
2003,Cruzeiro
2002,Santos
2001,Atletico Paranaense
2000,Vasco da Gama
1999,Corinthians
1998,Corinthians
1997,Vasco da Gama
1996,Grêmio
1995,Botafogo
1994,Palmeiras
1993,Palmeiras
1992,Flamengo
1991,São Paulo
1990,Corinthians
1989,Vasco da Gama
1988,Bahia
1987 (1),Sport
1986,São Paulo
1985,Coritiba
1984,Fluminense
1983,Flamengo
1982,Flamengo
1981,Grêmio
1980,Flamengo
1979,Internacional (Invicto)
1978,Guarani
1977,São Paulo
1976,Internacional
1975,Internacional
1974,Vasco da Gama
1973,Palmeiras
1972,Palmeiras
1971,Atletico Mineiro
