UF,,PLANEJADA,TRAVESSIA,LEITO NATUAL,EM OBRAS IMP,IMPLANT,EM OBRAS PAV,SUB-TOTAL,PISTA SIMPLES,EM OBRAS DUP,PISTA DUPLA,SUB-TOTAL,TOTAL
 DF , Distrito Federal 1, 170.2 , -   , -   , -   , -   , -   , -   , 82.5 , -   , 129.0 , 211.5 , 381.7 
 DF , Distrito Federal 2, 170.2 , -   , -   , -   , -   , -   , -   , 82.5 , -   , 129.0 , 211.5 , 381.7 
 DF , Distrito Federal 3, 170.2 , -   , -   , -   , -   , -   , -   , 82.5 , -   , 129.0 , 211.5 , 381.7 
 GO , Goiás ," 2,636.8 ", -   , 100.7 , -   , -   , 178.7 , 279.4 ," 2,597.3 ", 18.7 , 791.9 ," 3,407.9 "," 6,324.1 "
 MS , Mato Grosso do Sul , 562.6 , -   , 225.5 , -   , 1.4 , 36.2 , 263.1 ," 3,706.9 ", -   , 70.1 ," 3,777.0 "," 4,602.7 "
 MT , Mato Grosso ," 1,528.0 ", -   , 427.7 , -   , 402.0 , 246.0 ," 1,075.7 "," 3,538.2 ", 206.8 , 273.6 ," 4,018.6 "," 6,622.3 "
Sub-Total,," 4,897.6 ", -   , 753.9 , -   , 403.4 , 460.9 ," 1,618.2 "," 9,924.9 ", 225.5 ," 1,264.6 "," 11,415.0 "," 17,930.8 "
 AL , Alagoas , 100.5 , -   , 49.0 , -   , -   , 4.4 , 53.4 , 473.6 , 182.7 , 91.5 , 747.8 , 901.7 
 BA , Bahia ," 4,006.4 ", 39.8 , 497.7 , -   , 272.4 , 258.7 ," 1,068.6 "," 6,029.7 ", 69.8 , 125.9 ," 6,225.4 "," 11,300.4 "
 CE , Ceará ," 1,096.3 ", -   , 42.0 , 80.9 , 189.0 , 44.4 , 356.3 ," 2,092.3 ", 32.3 , 76.9 ," 2,201.5 "," 3,654.1 "
 MA , Maranhão ," 1,062.9 ", -   , -   , -   , 98.8 , -   , 98.8 ," 3,080.3 ", 40.3 , 51.6 ," 3,172.2 "," 4,333.9 "
 PB , Paraíba , 388.0 , -   , 18.3 , -   , 0.5 , 7.7 , 26.5 , 998.6 , 2.9 , 273.3 ," 1,274.8 "," 1,689.3 "
 PE , Pernambuco , 683.4 , -   , -   , -   , 95.4 , -   , 95.4 ," 1,692.5 ", 73.9 , 386.7 ," 2,153.1 "," 2,931.9 "
 PI , Piauí ," 1,632.7 ", -   , 52.7 , -   , 42.0 , -   , 94.7 ," 2,719.0 ", 16.0 , 46.5 ," 2,781.5 "," 4,508.9 "
